model,task,repeat,arm,passed,source,exposure,generation_calls,generation_tokens_known,preparation_calls_required,preparation_tokens_required,attempts,first_attempt_pass,failure_stage,finite_measurement,relative_deviation,numerical_loss,simulator_logs_retained,record
gpt4o,eda_207,2,direct,False,formal-v1,new_task,3,2336,0,0,3,False,parse,False,,1,0,records/units/gpt4o/eda_207/2/direct/record.json
gpt4o,eda_209,1,analogcoder,False,formal-v1,new_task,3,10702,0,0,3,False,generation,False,,1,0,records/units/gpt4o/eda_209/1/analogcoder/record.json
gpt4o,eda_209,1,spicepilot,False,formal-v1,new_task,3,13196,0,0,3,False,generation,False,,1,0,records/units/gpt4o/eda_209/1/spicepilot/record.json
gpt4o,eda_209,1,direct,False,formal-v1,new_task,3,2576,0,0,3,False,parse,False,,1,4,records/units/gpt4o/eda_209/1/direct/record.json
gpt4o,eda_209,3,analogcoder,False,formal-v1,new_task,3,10171,0,0,3,False,parse,False,,1,0,records/units/gpt4o/eda_209/3/analogcoder/record.json
gpt4o,eda_209,3,spicepilot,False,formal-v1,new_task,3,13439,0,0,3,False,generation,False,,1,0,records/units/gpt4o/eda_209/3/spicepilot/record.json
gpt4o,eda_209,3,direct,False,formal-v1,new_task,3,2498,0,0,3,False,parse,False,,1,0,records/units/gpt4o/eda_209/3/direct/record.json
gpt4o,eda_209,2,analogcoder,False,formal-v1,new_task,3,10679,0,0,3,False,generation,False,,1,0,records/units/gpt4o/eda_209/2/analogcoder/record.json
gpt4o,eda_209,2,spicepilot,False,formal-v1,new_task,3,13332,0,0,3,False,generation,False,,1,0,records/units/gpt4o/eda_209/2/spicepilot/record.json
gpt4o,eda_209,2,direct,False,formal-v1,new_task,3,2539,0,0,3,False,specification,True,1.0,1.0,4,records/units/gpt4o/eda_209/2/direct/record.json
gpt4o,eda_208,1,analogcoder,False,formal-v1,new_task,1,2772,0,0,1,False,parse,False,,1,0,records/units/gpt4o/eda_208/1/analogcoder/record.json
gpt4o,eda_208,1,spicepilot,False,formal-v1,new_task,3,13216,0,0,3,False,generation,False,,1,4,records/units/gpt4o/eda_208/1/spicepilot/record.json
